passenger_id,survived,member
785,1,ar2
786,0,ar2
787,0,ar2
788,0,ar2
789,0,ar2
790,0,ar2
791,1,ar2
792,1,ar2
793,0,ar2
794,0,ar2
795,1,ar2
796,0,ar2
797,0,ar2
798,0,ar2
799,0,ar2
800,0,ar2
801,1,ar2
802,1,ar2
803,1,ar2
804,1,ar2
805,0,ar2
806,0,ar2
807,0,ar2
808,1,ar2
809,0,ar2
810,0,ar2
811,1,ar2
812,0,ar2
813,0,ar2
814,1,ar2
815,0,ar2
816,0,ar2
817,0,ar2
818,1,ar2
819,0,ar2
820,1,ar2
821,0,ar2
822,0,ar2
823,0,ar2
824,1,ar2
825,1,ar2
826,0,ar2
827,0,ar2
828,1,ar2
829,0,ar2
830,1,ar2
831,0,ar2
832,0,ar2
833,0,ar2
834,0,ar2
835,1,ar2
836,0,ar2
837,0,ar2
838,0,ar2
839,1,ar2
840,1,ar2
841,0,ar2
842,0,ar2
843,1,ar2
844,1,ar2
845,0,ar2
846,1,ar2
847,0,ar2
848,0,ar2
849,1,ar2
850,0,ar2
851,0,ar2
852,0,ar2
853,0,ar2
854,0,ar2
855,0,ar2
856,0,ar2
857,0,ar2
858,1,ar2
859,0,ar2
860,1,ar2
861,0,ar2
862,1,ar2
863,0,ar2
864,1,ar2
865,0,ar2
866,0,ar2
867,1,ar2
868,1,ar2
869,1,ar2
870,1,ar2
871,0,ar2
872,0,ar2
873,1,ar2
874,0,ar2
875,0,ar2
876,1,ar2
877,1,ar2
878,0,ar2
879,0,ar2
880,1,ar2
881,1,ar2
882,0,ar2
883,0,ar2
884,0,ar2
885,1,ar2
886,0,ar2
887,1,ar2
888,1,ar2
889,1,ar2
890,1,ar2
891,0,ar2
892,0,ar2
893,0,ar2
894,0,ar2
895,0,ar2
896,0,ar2
897,1,ar2
898,1,ar2
899,0,ar2
900,1,ar2
901,1,ar2
902,0,ar2
903,0,ar2
904,0,ar2
905,0,ar2
906,1,ar2
907,0,ar2
908,0,ar2
909,1,ar2
910,0,ar2
911,0,ar2
912,0,ar2
913,0,ar2
914,0,ar2
915,1,ar2
916,1,ar2
917,0,ar2
918,0,ar2
919,0,ar2
920,0,ar2
921,0,ar2
922,1,ar2
923,0,ar2
924,0,ar2
925,0,ar2
926,0,ar2
927,1,ar2
928,1,ar2
929,1,ar2
930,0,ar2
931,0,ar2
932,0,ar2
933,0,ar2
934,1,ar2
935,0,ar2
936,1,ar2
937,0,ar2
938,0,ar2
939,0,ar2
940,1,ar2
941,0,ar2
942,1,ar2
943,0,ar2
944,1,ar2
945,0,ar2
