passenger_id,survived,member
785,1,ar3
786,1,ar3
787,0,ar3
788,1,ar3
789,0,ar3
790,1,ar3
791,1,ar3
792,1,ar3
793,0,ar3
794,0,ar3
795,1,ar3
796,1,ar3
797,0,ar3
798,0,ar3
799,0,ar3
800,1,ar3
801,1,ar3
802,1,ar3
803,1,ar3
804,1,ar3
805,0,ar3
806,0,ar3
807,0,ar3
808,1,ar3
809,0,ar3
810,0,ar3
811,1,ar3
812,0,ar3
813,0,ar3
814,1,ar3
815,0,ar3
816,1,ar3
817,0,ar3
818,1,ar3
819,1,ar3
820,1,ar3
821,1,ar3
822,0,ar3
823,1,ar3
824,1,ar3
825,1,ar3
826,0,ar3
827,0,ar3
828,1,ar3
829,0,ar3
830,1,ar3
831,0,ar3
832,0,ar3
833,1,ar3
834,0,ar3
835,1,ar3
836,0,ar3
837,0,ar3
838,0,ar3
839,1,ar3
840,1,ar3
841,1,ar3
842,0,ar3
843,1,ar3
844,1,ar3
845,1,ar3
846,1,ar3
847,0,ar3
848,0,ar3
849,1,ar3
850,0,ar3
851,0,ar3
852,0,ar3
853,0,ar3
854,0,ar3
855,0,ar3
856,0,ar3
857,0,ar3
858,1,ar3
859,0,ar3
860,1,ar3
861,0,ar3
862,1,ar3
863,0,ar3
864,1,ar3
865,1,ar3
866,1,ar3
867,1,ar3
868,0,ar3
869,1,ar3
870,1,ar3
871,0,ar3
872,0,ar3
873,1,ar3
874,0,ar3
875,0,ar3
876,1,ar3
877,1,ar3
878,0,ar3
879,0,ar3
880,1,ar3
881,1,ar3
882,0,ar3
883,0,ar3
884,0,ar3
885,1,ar3
886,0,ar3
887,1,ar3
888,1,ar3
889,1,ar3
890,1,ar3
891,1,ar3
892,0,ar3
893,0,ar3
894,0,ar3
895,0,ar3
896,0,ar3
897,1,ar3
898,1,ar3
899,0,ar3
900,1,ar3
901,1,ar3
902,0,ar3
903,1,ar3
904,0,ar3
905,0,ar3
906,1,ar3
907,0,ar3
908,0,ar3
909,1,ar3
910,1,ar3
911,0,ar3
912,0,ar3
913,0,ar3
914,0,ar3
915,1,ar3
