passenger_id,survived,member
0,0,vv0
1,1,vv0
2,0,vv0
3,0,vv0
4,0,vv0
5,1,vv0
6,1,vv0
7,1,vv0
8,0,vv0
9,1,vv0
10,0,vv0
11,0,vv0
12,1,vv0
13,1,vv0
14,0,vv0
15,0,vv0
16,0,vv0
17,0,vv0
18,0,vv0
19,0,vv0
20,0,vv0
21,0,vv0
22,0,vv0
23,0,vv0
24,0,vv0
25,0,vv0
26,0,vv0
27,1,vv0
28,1,vv0
29,0,vv0
30,0,vv0
31,1,vv0
32,0,vv0
33,0,vv0
34,0,vv0
35,0,vv0
36,0,vv0
37,1,vv0
38,1,vv0
39,0,vv0
40,0,vv0
41,1,vv0
42,1,vv0
43,0,vv0
44,0,vv0
45,0,vv0
46,0,vv0
47,1,vv0
48,1,vv0
49,0,vv0
50,0,vv0
51,1,vv0
52,0,vv0
53,1,vv0
54,0,vv0
55,0,vv0
56,0,vv0
57,0,vv0
58,0,vv0
59,0,vv0
60,0,vv0
61,0,vv0
62,0,vv0
63,0,vv0
64,1,vv0
65,0,vv0
66,0,vv0
67,0,vv0
68,1,vv0
69,0,vv0
70,0,vv0
71,1,vv0
72,0,vv0
73,1,vv0
74,0,vv0
75,0,vv0
76,1,vv0
77,1,vv0
78,0,vv0
79,0,vv0
80,1,vv0
81,0,vv0
82,1,vv0
83,1,vv0
84,0,vv0
85,1,vv0
86,0,vv0
87,1,vv0
88,0,vv0
89,0,vv0
90,0,vv0
91,0,vv0
92,1,vv0
93,1,vv0
94,0,vv0
95,1,vv0
96,0,vv0
97,0,vv0
98,1,vv0
99,0,vv0
100,0,vv0
101,0,vv0
102,0,vv0
103,0,vv0
104,0,vv0
105,1,vv0
106,0,vv0
107,1,vv0
108,0,vv0
109,1,vv0
110,0,vv0
111,0,vv0
112,0,vv0
113,0,vv0
114,1,vv0
115,0,vv0
116,1,vv0
117,1,vv0
118,0,vv0
119,0,vv0
120,0,vv0
121,0,vv0
122,0,vv0
123,1,vv0
124,0,vv0
125,1,vv0
126,0,vv0
127,0,vv0
128,0,vv0
129,0,vv0
130,0,vv0
131,0,vv0
132,1,vv0
133,0,vv0
134,0,vv0
135,0,vv0
136,0,vv0
137,1,vv0
138,0,vv0
139,1,vv0
140,0,vv0
141,1,vv0
142,0,vv0
143,0,vv0
144,1,vv0
145,0,vv0
146,1,vv0
147,0,vv0
148,1,vv0
149,1,vv0
150,0,vv0
151,0,vv0
152,0,vv0
153,0,vv0
154,0,vv0
155,1,vv0
156,0,vv0
157,1,vv0
158,0,vv0
159,0,vv0
160,1,vv0
161,0,vv0
162,0,vv0
163,1,vv0
164,0,vv0
165,0,vv0
166,0,vv0
167,0,vv0
168,0,vv0
169,0,vv0
170,0,vv0
171,0,vv0
172,0,vv0
173,1,vv0
174,0,vv0
175,0,vv0
176,0,vv0
177,0,vv0
178,0,vv0
179,0,vv0
180,0,vv0
181,0,vv0
182,1,vv0
183,0,vv0
184,0,vv0
185,0,vv0
186,0,vv0
187,0,vv0
188,1,vv0
189,0,vv0
190,0,vv0
191,1,vv0
192,0,vv0
193,0,vv0
194,0,vv0
195,1,vv0
196,1,vv0
197,0,vv0
198,1,vv0
199,0,vv0
200,0,vv0
201,0,vv0
202,0,vv0
203,1,vv0
204,0,vv0
205,0,vv0
206,0,vv0
207,1,vv0
208,0,vv0
209,1,vv0
210,0,vv0
211,0,vv0
212,0,vv0
213,0,vv0
214,0,vv0
215,0,vv0
216,1,vv0
217,1,vv0
218,0,vv0
219,0,vv0
220,1,vv0
221,1,vv0
222,0,vv0
223,1,vv0
224,1,vv0
225,0,vv0
226,0,vv0
227,0,vv0
228,0,vv0
229,0,vv0
230,0,vv0
231,0,vv0
232,1,vv0
233,0,vv0
234,0,vv0
235,1,vv0
236,0,vv0
237,0,vv0
238,1,vv0
239,0,vv0
240,1,vv0
241,1,vv0
242,0,vv0
243,0,vv0
244,0,vv0
245,1,vv0
246,0,vv0
247,0,vv0
248,0,vv0
249,0,vv0
250,0,vv0
251,1,vv0
252,1,vv0
253,0,vv0
254,0,vv0
255,1,vv0
256,0,vv0
257,0,vv0
