passenger_id,survived,member
785,1,vv0
786,1,vv0
787,0,vv0
788,1,vv0
789,0,vv0
790,0,vv0
791,1,vv0
792,1,vv0
793,0,vv0
794,0,vv0
795,1,vv0
796,1,vv0
797,0,vv0
798,0,vv0
799,0,vv0
800,0,vv0
801,1,vv0
802,1,vv0
803,1,vv0
804,1,vv0
805,0,vv0
806,0,vv0
807,0,vv0
808,1,vv0
809,0,vv0
810,0,vv0
811,1,vv0
812,0,vv0
813,0,vv0
814,1,vv0
815,0,vv0
816,1,vv0
817,0,vv0
818,1,vv0
819,1,vv0
820,0,vv0
821,0,vv0
822,0,vv0
823,0,vv0
824,1,vv0
825,1,vv0
826,0,vv0
827,1,vv0
828,1,vv0
829,0,vv0
830,1,vv0
831,0,vv0
832,0,vv0
833,0,vv0
834,0,vv0
835,1,vv0
836,0,vv0
837,0,vv0
838,0,vv0
839,1,vv0
840,1,vv0
841,1,vv0
842,0,vv0
843,1,vv0
844,1,vv0
845,1,vv0
846,1,vv0
847,1,vv0
848,0,vv0
849,1,vv0
850,0,vv0
851,0,vv0
852,0,vv0
853,0,vv0
854,0,vv0
855,0,vv0
856,0,vv0
857,0,vv0
858,1,vv0
859,0,vv0
860,1,vv0
861,0,vv0
862,1,vv0
863,0,vv0
864,1,vv0
865,1,vv0
866,1,vv0
867,1,vv0
868,0,vv0
869,1,vv0
870,1,vv0
871,0,vv0
872,0,vv0
873,1,vv0
874,0,vv0
875,0,vv0
876,1,vv0
877,1,vv0
878,0,vv0
879,0,vv0
880,1,vv0
881,1,vv0
882,0,vv0
883,0,vv0
884,0,vv0
885,1,vv0
886,0,vv0
887,1,vv0
888,1,vv0
889,1,vv0
890,1,vv0
891,0,vv0
892,0,vv0
893,0,vv0
894,0,vv0
895,0,vv0
896,0,vv0
897,1,vv0
898,1,vv0
899,0,vv0
900,1,vv0
901,1,vv0
902,0,vv0
903,0,vv0
904,0,vv0
905,0,vv0
906,1,vv0
907,0,vv0
908,0,vv0
909,1,vv0
910,0,vv0
911,0,vv0
912,0,vv0
913,0,vv0
914,0,vv0
915,1,vv0
916,1,vv0
917,0,vv0
918,0,vv0
919,0,vv0
920,0,vv0
921,0,vv0
922,1,vv0
923,0,vv0
924,0,vv0
925,0,vv0
926,0,vv0
927,1,vv0
928,1,vv0
929,1,vv0
930,0,vv0
931,0,vv0
932,0,vv0
933,0,vv0
934,1,vv0
935,0,vv0
936,1,vv0
937,0,vv0
938,0,vv0
939,0,vv0
940,1,vv0
941,1,vv0
942,1,vv0
943,0,vv0
944,1,vv0
945,0,vv0
946,1,vv0
947,0,vv0
948,1,vv0
949,0,vv0
950,0,vv0
951,0,vv0
952,0,vv0
953,0,vv0
954,1,vv0
955,1,vv0
956,0,vv0
957,1,vv0
958,0,vv0
959,0,vv0
960,0,vv0
961,1,vv0
962,1,vv0
963,1,vv0
964,0,vv0
965,1,vv0
966,0,vv0
967,0,vv0
968,0,vv0
969,1,vv0
970,1,vv0
971,0,vv0
972,1,vv0
973,0,vv0
974,0,vv0
975,0,vv0
976,0,vv0
977,0,vv0
978,1,vv0
979,0,vv0
980,1,vv0
981,0,vv0
982,0,vv0
983,1,vv0
984,0,vv0
985,1,vv0
986,0,vv0
987,0,vv0
988,0,vv0
989,1,vv0
990,0,vv0
991,0,vv0
992,0,vv0
993,0,vv0
994,0,vv0
995,1,vv0
996,0,vv0
997,1,vv0
998,1,vv0
999,0,vv0
1000,1,vv0
1001,1,vv0
1002,0,vv0
1003,1,vv0
1004,1,vv0
1005,0,vv0
1006,0,vv0
1007,1,vv0
1008,0,vv0
1009,0,vv0
1010,1,vv0
1011,0,vv0
1012,0,vv0
1013,1,vv0
1014,0,vv0
1015,0,vv0
1016,1,vv0
1017,0,vv0
1018,0,vv0
1019,1,vv0
1020,1,vv0
1021,0,vv0
1022,1,vv0
1023,0,vv0
1024,0,vv0
1025,1,vv0
1026,0,vv0
1027,0,vv0
1028,0,vv0
1029,0,vv0
1030,0,vv0
1031,0,vv0
1032,1,vv0
