passenger_id,survived,member
785,1,vv2
786,1,vv2
787,0,vv2
788,1,vv2
789,0,vv2
790,1,vv2
791,1,vv2
792,1,vv2
793,0,vv2
794,0,vv2
795,1,vv2
796,0,vv2
797,0,vv2
798,0,vv2
799,0,vv2
800,0,vv2
801,1,vv2
802,1,vv2
803,1,vv2
804,1,vv2
805,0,vv2
806,0,vv2
807,0,vv2
808,1,vv2
809,0,vv2
810,0,vv2
811,1,vv2
812,0,vv2
813,1,vv2
814,1,vv2
815,0,vv2
816,1,vv2
817,0,vv2
818,1,vv2
819,1,vv2
820,0,vv2
821,1,vv2
822,0,vv2
823,1,vv2
824,1,vv2
825,1,vv2
826,0,vv2
827,0,vv2
828,1,vv2
829,0,vv2
830,0,vv2
831,0,vv2
832,0,vv2
833,0,vv2
834,0,vv2
835,1,vv2
836,0,vv2
837,0,vv2
838,0,vv2
839,1,vv2
840,1,vv2
841,1,vv2
842,0,vv2
843,1,vv2
844,1,vv2
845,0,vv2
846,1,vv2
847,1,vv2
848,0,vv2
849,1,vv2
850,0,vv2
851,0,vv2
852,1,vv2
853,0,vv2
854,0,vv2
855,1,vv2
856,0,vv2
857,0,vv2
858,1,vv2
859,1,vv2
860,1,vv2
861,0,vv2
862,1,vv2
863,0,vv2
864,1,vv2
865,0,vv2
866,0,vv2
867,1,vv2
868,0,vv2
869,1,vv2
870,1,vv2
871,0,vv2
872,0,vv2
873,1,vv2
874,0,vv2
875,0,vv2
876,1,vv2
877,1,vv2
878,0,vv2
879,0,vv2
880,1,vv2
881,1,vv2
882,0,vv2
883,0,vv2
884,0,vv2
885,1,vv2
886,0,vv2
887,1,vv2
888,1,vv2
889,1,vv2
890,0,vv2
891,0,vv2
892,0,vv2
893,0,vv2
894,0,vv2
895,0,vv2
896,0,vv2
897,1,vv2
898,1,vv2
899,0,vv2
900,1,vv2
901,1,vv2
902,0,vv2
903,0,vv2
904,0,vv2
905,0,vv2
906,1,vv2
907,0,vv2
908,0,vv2
909,1,vv2
910,0,vv2
911,0,vv2
912,0,vv2
913,0,vv2
914,0,vv2
915,1,vv2
916,1,vv2
917,0,vv2
918,0,vv2
919,0,vv2
920,0,vv2
921,0,vv2
922,1,vv2
923,0,vv2
924,0,vv2
925,0,vv2
926,0,vv2
927,1,vv2
928,1,vv2
929,1,vv2
930,0,vv2
931,0,vv2
932,0,vv2
933,0,vv2
934,1,vv2
935,0,vv2
936,1,vv2
937,0,vv2
938,0,vv2
939,0,vv2
940,1,vv2
941,1,vv2
942,1,vv2
943,0,vv2
944,1,vv2
945,0,vv2
946,1,vv2
947,0,vv2
948,1,vv2
949,0,vv2
950,0,vv2
951,0,vv2
952,0,vv2
953,0,vv2
954,1,vv2
955,1,vv2
956,0,vv2
957,1,vv2
958,0,vv2
959,0,vv2
960,0,vv2
961,1,vv2
962,1,vv2
963,1,vv2
964,0,vv2
965,1,vv2
966,0,vv2
967,0,vv2
968,0,vv2
969,1,vv2
970,1,vv2
971,0,vv2
972,1,vv2
973,0,vv2
974,0,vv2
975,0,vv2
976,0,vv2
977,0,vv2
978,1,vv2
979,0,vv2
980,1,vv2
981,0,vv2
982,0,vv2
983,1,vv2
984,0,vv2
985,1,vv2
986,0,vv2
987,1,vv2
988,0,vv2
989,1,vv2
990,0,vv2
991,1,vv2
992,0,vv2
993,1,vv2
994,0,vv2
995,1,vv2
996,0,vv2
997,1,vv2
998,0,vv2
999,0,vv2
1000,1,vv2
1001,1,vv2
1002,0,vv2
1003,1,vv2
1004,1,vv2
1005,0,vv2
1006,0,vv2
1007,1,vv2
1008,1,vv2
1009,0,vv2
1010,1,vv2
1011,0,vv2
1012,0,vv2
1013,1,vv2
1014,0,vv2
1015,0,vv2
1016,1,vv2
1017,0,vv2
1018,0,vv2
1019,1,vv2
1020,1,vv2
1021,0,vv2
1022,1,vv2
1023,0,vv2
1024,0,vv2
1025,1,vv2
1026,0,vv2
1027,0,vv2
1028,0,vv2
1029,0,vv2
1030,1,vv2
1031,0,vv2
1032,1,vv2
1033,0,vv2
1034,1,vv2
1035,0,vv2
1036,1,vv2
1037,1,vv2
1038,0,vv2
1039,0,vv2
1040,0,vv2
1041,1,vv2
1042,0,vv2
1043,1,vv2
1044,0,vv2
1045,1,vv2
1046,0,vv2
1047,0,vv2
1048,0,vv2
1049,1,vv2
1050,0,vv2
1051,0,vv2
1052,0,vv2
1053,0,vv2
1054,1,vv2
1055,0,vv2
1056,1,vv2
1057,0,vv2
1058,1,vv2
1059,0,vv2
1060,1,vv2
1061,0,vv2
1062,0,vv2
