passenger_id,survived,member
785,1,vv4
786,0,vv4
787,0,vv4
788,1,vv4
789,0,vv4
790,0,vv4
791,1,vv4
792,1,vv4
793,0,vv4
794,0,vv4
795,1,vv4
796,1,vv4
797,0,vv4
798,0,vv4
799,0,vv4
800,0,vv4
801,1,vv4
802,1,vv4
803,1,vv4
804,1,vv4
805,0,vv4
806,0,vv4
807,0,vv4
808,1,vv4
809,0,vv4
810,0,vv4
811,1,vv4
812,0,vv4
813,0,vv4
814,1,vv4
815,0,vv4
816,1,vv4
817,0,vv4
818,1,vv4
819,1,vv4
820,1,vv4
821,0,vv4
822,0,vv4
823,0,vv4
824,1,vv4
825,1,vv4
826,0,vv4
827,1,vv4
828,1,vv4
829,0,vv4
830,1,vv4
831,0,vv4
832,0,vv4
833,0,vv4
834,0,vv4
835,1,vv4
836,0,vv4
837,0,vv4
838,0,vv4
839,1,vv4
840,1,vv4
841,1,vv4
842,0,vv4
843,1,vv4
844,1,vv4
845,1,vv4
846,1,vv4
847,0,vv4
848,0,vv4
849,1,vv4
850,0,vv4
851,0,vv4
852,0,vv4
853,0,vv4
854,0,vv4
855,0,vv4
856,0,vv4
857,0,vv4
858,1,vv4
859,0,vv4
860,1,vv4
861,0,vv4
862,1,vv4
863,0,vv4
864,1,vv4
865,1,vv4
866,1,vv4
867,1,vv4
868,0,vv4
869,1,vv4
870,1,vv4
871,0,vv4
872,0,vv4
873,1,vv4
874,0,vv4
875,0,vv4
876,1,vv4
877,1,vv4
878,0,vv4
879,0,vv4
880,1,vv4
881,1,vv4
882,0,vv4
883,0,vv4
884,0,vv4
885,1,vv4
886,0,vv4
887,1,vv4
888,1,vv4
889,1,vv4
890,0,vv4
891,0,vv4
892,0,vv4
893,0,vv4
894,0,vv4
895,0,vv4
896,0,vv4
897,1,vv4
898,1,vv4
899,0,vv4
900,1,vv4
901,1,vv4
902,0,vv4
903,0,vv4
904,0,vv4
905,0,vv4
906,1,vv4
907,0,vv4
908,0,vv4
909,1,vv4
910,0,vv4
911,0,vv4
912,0,vv4
913,0,vv4
914,0,vv4
915,1,vv4
916,1,vv4
917,0,vv4
918,0,vv4
919,0,vv4
920,0,vv4
921,0,vv4
922,1,vv4
923,0,vv4
924,0,vv4
925,0,vv4
926,0,vv4
927,1,vv4
928,1,vv4
929,1,vv4
930,0,vv4
931,0,vv4
932,0,vv4
933,0,vv4
934,1,vv4
935,0,vv4
936,1,vv4
937,0,vv4
938,0,vv4
939,0,vv4
940,1,vv4
941,1,vv4
942,1,vv4
943,0,vv4
944,1,vv4
945,0,vv4
946,1,vv4
947,0,vv4
948,1,vv4
949,0,vv4
950,0,vv4
951,0,vv4
952,0,vv4
953,0,vv4
954,1,vv4
955,1,vv4
956,0,vv4
957,1,vv4
958,0,vv4
959,0,vv4
960,0,vv4
961,1,vv4
962,1,vv4
963,1,vv4
964,0,vv4
965,1,vv4
966,0,vv4
967,0,vv4
968,0,vv4
969,1,vv4
970,1,vv4
971,0,vv4
972,1,vv4
973,0,vv4
974,0,vv4
975,0,vv4
976,0,vv4
977,0,vv4
978,1,vv4
979,0,vv4
980,1,vv4
981,0,vv4
982,1,vv4
983,1,vv4
984,0,vv4
985,1,vv4
986,0,vv4
987,1,vv4
988,0,vv4
989,1,vv4
990,0,vv4
991,0,vv4
992,0,vv4
993,0,vv4
994,0,vv4
995,1,vv4
996,0,vv4
997,1,vv4
998,0,vv4
999,0,vv4
