passenger_id,survived,member
0,0.0,ar0
1,1.0,ar0
2,0.0,ar0
3,0.0,ar0
4,0.0,ar0
5,1.0,ar0
6,1.0,ar0
7,1.0,ar0
8,0.0,ar0
9,1.0,ar0
10,0.0,ar0
11,0.0,ar0
12,0.0,ar0
13,1.0,ar0
14,0.0,ar0
15,0.0,ar0
16,0.0,ar0
17,0.0,ar0
18,0.0,ar0
19,0.0,ar0
20,0.0,ar0
21,0.0,ar0
22,0.0,ar0
23,0.0,ar0
24,0.0,ar0
25,0.0,ar0
26,0.0,ar0
27,1.0,ar0
28,1.0,ar0
29,1.0,ar0
30,0.0,ar0
31,1.0,ar0
32,0.0,ar0
33,0.0,ar0
34,0.0,ar0
35,0.0,ar0
36,0.0,ar0
37,1.0,ar0
38,1.0,ar0
39,0.0,ar0
40,0.0,ar0
41,1.0,ar0
42,1.0,ar0
43,0.0,ar0
44,0.0,ar0
45,0.0,ar0
46,0.0,ar0
47,1.0,ar0
48,1.0,ar0
49,0.0,ar0
50,0.0,ar0
51,1.0,ar0
52,0.0,ar0
53,1.0,ar0
54,0.0,ar0
55,0.0,ar0
56,0.0,ar0
57,0.0,ar0
58,0.0,ar0
59,0.0,ar0
60,0.0,ar0
61,0.0,ar0
62,0.0,ar0
63,0.0,ar0
64,1.0,ar0
65,1.0,ar0
66,0.0,ar0
67,0.0,ar0
68,1.0,ar0
69,0.0,ar0
70,0.0,ar0
71,1.0,ar0
72,0.0,ar0
73,1.0,ar0
74,0.0,ar0
75,0.0,ar0
76,1.0,ar0
77,1.0,ar0
78,0.0,ar0
79,0.0,ar0
80,1.0,ar0
81,0.0,ar0
82,0.0,ar0
83,1.0,ar0
84,0.0,ar0
85,1.0,ar0
86,0.0,ar0
87,1.0,ar0
88,0.0,ar0
89,0.0,ar0
90,0.0,ar0
91,0.0,ar0
92,1.0,ar0
93,1.0,ar0
94,0.0,ar0
95,1.0,ar0
96,0.0,ar0
97,0.0,ar0
98,1.0,ar0
99,0.0,ar0
100,0.0,ar0
101,0.0,ar0
102,0.0,ar0
103,0.0,ar0
104,0.0,ar0
105,1.0,ar0
106,0.0,ar0
107,1.0,ar0
108,0.0,ar0
109,1.0,ar0
110,0.0,ar0
111,0.0,ar0
112,0.0,ar0
113,0.0,ar0
114,1.0,ar0
115,0.0,ar0
116,1.0,ar0
117,1.0,ar0
118,0.0,ar0
119,0.0,ar0
120,0.0,ar0
121,0.0,ar0
122,0.0,ar0
123,1.0,ar0
124,1.0,ar0
125,1.0,ar0
126,0.0,ar0
127,0.0,ar0
128,0.0,ar0
129,1.0,ar0
130,0.0,ar0
131,0.0,ar0
132,1.0,ar0
133,0.0,ar0
134,0.0,ar0
135,0.0,ar0
136,0.0,ar0
137,1.0,ar0
138,0.0,ar0
139,1.0,ar0
140,0.0,ar0
141,1.0,ar0
142,0.0,ar0
143,0.0,ar0
144,1.0,ar0
145,0.0,ar0
146,1.0,ar0
147,0.0,ar0
148,1.0,ar0
149,1.0,ar0
150,0.0,ar0
151,0.0,ar0
152,0.0,ar0
153,0.0,ar0
154,0.0,ar0
155,1.0,ar0
156,0.0,ar0
157,1.0,ar0
158,0.0,ar0
159,0.0,ar0
160,1.0,ar0
161,0.0,ar0
162,0.0,ar0
163,0.0,ar0
164,0.0,ar0
165,0.0,ar0
166,0.0,ar0
167,0.0,ar0
168,0.0,ar0
169,0.0,ar0
170,0.0,ar0
171,0.0,ar0
172,0.0,ar0
173,0.0,ar0
174,0.0,ar0
175,0.0,ar0
176,0.0,ar0
177,0.0,ar0
178,0.0,ar0
179,0.0,ar0
180,0.0,ar0
181,0.0,ar0
182,1.0,ar0
183,0.0,ar0
184,0.0,ar0
185,0.0,ar0
186,0.0,ar0
187,0.0,ar0
188,1.0,ar0
189,0.0,ar0
190,0.0,ar0
191,1.0,ar0
192,0.0,ar0
193,0.0,ar0
194,0.0,ar0
195,1.0,ar0
196,1.0,ar0
197,0.0,ar0
198,1.0,ar0
199,0.0,ar0
200,0.0,ar0
201,0.0,ar0
202,0.0,ar0
203,1.0,ar0
204,1.0,ar0
205,0.0,ar0
206,0.0,ar0
207,1.0,ar0
208,0.0,ar0
209,0.0,ar0
210,0.0,ar0
211,0.0,ar0
212,0.0,ar0
213,0.0,ar0
214,0.0,ar0
215,0.0,ar0
216,1.0,ar0
217,1.0,ar0
218,0.0,ar0
219,0.0,ar0
220,1.0,ar0
221,1.0,ar0
222,0.0,ar0
223,1.0,ar0
224,1.0,ar0
225,0.0,ar0
226,0.0,ar0
227,0.0,ar0
228,0.0,ar0
229,0.0,ar0
230,0.0,ar0
231,0.0,ar0
232,0.0,ar0
233,0.0,ar0
234,0.0,ar0
235,1.0,ar0
236,0.0,ar0
237,0.0,ar0
238,1.0,ar0
239,0.0,ar0
240,1.0,ar0
241,1.0,ar0
242,0.0,ar0
243,0.0,ar0
244,1.0,ar0
245,1.0,ar0
246,0.0,ar0
247,0.0,ar0
248,0.0,ar0
249,0.0,ar0
250,0.0,ar0
251,1.0,ar0
252,1.0,ar0
253,1.0,ar0
254,0.0,ar0
255,1.0,ar0
256,0.0,ar0
257,1.0,ar0
258,1.0,ar0
259,0.0,ar0
260,0.0,ar0
261,0.0,ar0
262,0.0,ar0
263,0.0,ar0
264,0.0,ar0
265,1.0,ar0
266,1.0,ar0
267,0.0,ar0
268,0.0,ar0
269,0.0,ar0
270,0.0,ar0
271,1.0,ar0
272,0.0,ar0
273,0.0,ar0
274,0.0,ar0
275,0.0,ar0
276,0.0,ar0
277,0.0,ar0
278,0.0,ar0
279,0.0,ar0
280,0.0,ar0
281,0.0,ar0
282,0.0,ar0
283,0.0,ar0
284,1.0,ar0
285,0.0,ar0
286,0.0,ar0
287,1.0,ar0
288,0.0,ar0
289,1.0,ar0
290,1.0,ar0
291,0.0,ar0
292,0.0,ar0
293,0.0,ar0
294,0.0,ar0
295,0.0,ar0
296,1.0,ar0
297,0.0,ar0
298,0.0,ar0
299,1.0,ar0
300,0.0,ar0
301,1.0,ar0
302,0.0,ar0
303,0.0,ar0
304,0.0,ar0
