passenger_id,survived,member
0,0,js0
16,0,js0
17,0,js0
19,0,js0
29,0,js0
30,0,js0
32,0,js0
39,0,js0
40,0,js0
49,0,js0
55,0,js0
57,0,js0
67,0,js0
70,0,js0
79,0,js0
90,0,js0
100,0,js0
102,0,js0
122,0,js0
127,0,js0
129,1,js0
130,0,js0
136,0,js0
145,1,js0
155,1,js0
158,1,js0
169,0,js0
170,0,js0
172,1,js0
180,0,js0
193,0,js0
197,0,js0
229,1,js0
230,0,js0
236,0,js0
253,1,js0
254,0,js0
257,1,js0
262,0,js0
277,0,js0
278,0,js0
279,0,js0
285,0,js0
286,0,js0
287,1,js0
295,1,js0
301,1,js0
304,0,js0
318,0,js0
322,1,js0
333,1,js0
346,1,js0
349,0,js0
355,0,js0
363,0,js0
365,0,js0
368,0,js0
373,0,js0
377,0,js0
389,0,js0
395,0,js0
399,1,js0
413,0,js0
425,0,js0
442,0,js0
443,1,js0
445,0,js0
450,0,js0
454,0,js0
460,0,js0
469,0,js0
471,0,js0
476,0,js0
478,1,js0
480,0,js0
490,0,js0
491,1,js0
501,0,js0
505,1,js0
514,1,js0
527,0,js0
553,0,js0
557,0,js0
558,0,js0
560,0,js0
561,1,js0
563,0,js0
564,0,js0
570,0,js0
592,0,js0
601,0,js0
602,0,js0
604,0,js0
605,0,js0
619,0,js0
661,0,js0
663,0,js0
678,0,js0
680,0,js0
686,0,js0
691,0,js0
702,0,js0
710,1,js0
713,1,js0
714,0,js0
722,0,js0
727,0,js0
729,1,js0
730,1,js0
734,0,js0
735,1,js0
736,0,js0
749,0,js0
750,0,js0
755,0,js0
767,0,js0
768,0,js0
775,0,js0
777,1,js0
780,0,js0
1,1,js0
5,1,js0
9,1,js0
28,1,js0
41,1,js0
73,1,js0
95,1,js0
98,1,js0
105,1,js0
114,1,js0
137,1,js0
144,1,js0
149,1,js0
157,1,js0
188,1,js0
191,1,js0
196,1,js0
198,1,js0
216,1,js0
220,1,js0
221,1,js0
223,1,js0
241,1,js0
245,1,js0
252,1,js0
255,1,js0
258,1,js0
284,1,js0
305,1,js0
310,1,js0
