passenger_id,survived,member
0,0,ns0
1,1,ns0
2,0,ns0
3,0,ns0
4,0,ns0
5,1,ns0
6,1,ns0
7,1,ns0
8,0,ns0
9,1,ns0
10,0,ns0
11,0,ns0
12,1,ns0
13,1,ns0
14,0,ns0
15,0,ns0
16,0,ns0
17,0,ns0
18,0,ns0
19,0,ns0
20,0,ns0
21,0,ns0
22,0,ns0
23,0,ns0
24,0,ns0
25,0,ns0
26,0,ns0
27,0,ns0
28,1,ns0
29,0,ns0
30,0,ns0
31,1,ns0
32,0,ns0
33,0,ns0
34,0,ns0
35,0,ns0
36,0,ns0
37,1,ns0
38,1,ns0
39,0,ns0
40,0,ns0
41,1,ns0
42,1,ns0
43,0,ns0
44,0,ns0
45,0,ns0
46,0,ns0
47,0,ns0
48,1,ns0
49,0,ns0
50,0,ns0
51,1,ns0
52,0,ns0
53,1,ns0
54,0,ns0
55,0,ns0
56,0,ns0
57,0,ns0
58,0,ns0
59,0,ns0
60,0,ns0
61,0,ns0
62,0,ns0
63,0,ns0
64,1,ns0
65,1,ns0
66,0,ns0
67,0,ns0
68,1,ns0
69,0,ns0
70,0,ns0
71,1,ns0
72,0,ns0
73,1,ns0
74,0,ns0
75,0,ns0
76,1,ns0
77,1,ns0
78,0,ns0
79,0,ns0
80,1,ns0
81,0,ns0
82,1,ns0
83,1,ns0
84,0,ns0
85,1,ns0
86,0,ns0
87,0,ns0
88,0,ns0
89,0,ns0
90,0,ns0
91,0,ns0
92,1,ns0
93,1,ns0
94,0,ns0
95,1,ns0
96,0,ns0
97,0,ns0
98,1,ns0
99,0,ns0
100,0,ns0
101,0,ns0
102,0,ns0
103,0,ns0
104,0,ns0
105,1,ns0
106,0,ns0
107,1,ns0
108,0,ns0
109,1,ns0
110,0,ns0
111,0,ns0
112,0,ns0
113,0,ns0
114,1,ns0
115,0,ns0
116,1,ns0
117,1,ns0
118,0,ns0
119,0,ns0
120,0,ns0
121,0,ns0
122,0,ns0
123,1,ns0
124,0,ns0
125,1,ns0
126,0,ns0
127,0,ns0
128,0,ns0
129,0,ns0
130,0,ns0
131,0,ns0
132,1,ns0
133,0,ns0
134,0,ns0
135,0,ns0
136,0,ns0
137,1,ns0
138,0,ns0
139,1,ns0
140,0,ns0
141,1,ns0
142,0,ns0
143,0,ns0
144,1,ns0
145,1,ns0
146,1,ns0
147,0,ns0
148,1,ns0
149,1,ns0
150,0,ns0
151,0,ns0
152,0,ns0
153,0,ns0
154,0,ns0
155,1,ns0
156,0,ns0
157,1,ns0
158,0,ns0
159,0,ns0
160,1,ns0
161,0,ns0
162,0,ns0
163,0,ns0
164,0,ns0
165,0,ns0
166,0,ns0
167,0,ns0
168,0,ns0
169,0,ns0
170,0,ns0
171,0,ns0
172,0,ns0
173,1,ns0
174,0,ns0
175,0,ns0
176,0,ns0
177,0,ns0
178,0,ns0
179,0,ns0
180,0,ns0
181,0,ns0
182,1,ns0
183,0,ns0
184,0,ns0
185,0,ns0
186,0,ns0
187,0,ns0
188,1,ns0
189,0,ns0
190,0,ns0
191,1,ns0
192,0,ns0
193,0,ns0
194,0,ns0
195,1,ns0
196,1,ns0
197,0,ns0
198,1,ns0
199,0,ns0
200,0,ns0
201,0,ns0
202,0,ns0
203,1,ns0
204,0,ns0
205,0,ns0
206,0,ns0
207,1,ns0
208,0,ns0
209,0,ns0
210,0,ns0
211,0,ns0
212,0,ns0
213,0,ns0
214,0,ns0
215,0,ns0
216,1,ns0
217,1,ns0
218,0,ns0
219,0,ns0
220,1,ns0
221,1,ns0
222,0,ns0
223,1,ns0
224,1,ns0
225,0,ns0
226,0,ns0
227,0,ns0
228,0,ns0
229,0,ns0
230,0,ns0
231,0,ns0
232,1,ns0
233,0,ns0
234,0,ns0
235,1,ns0
236,0,ns0
237,0,ns0
238,1,ns0
239,0,ns0
240,1,ns0
241,1,ns0
242,0,ns0
243,0,ns0
244,0,ns0
245,1,ns0
246,0,ns0
247,0,ns0
248,0,ns0
249,0,ns0
250,0,ns0
251,0,ns0
252,1,ns0
253,0,ns0
254,0,ns0
255,1,ns0
256,0,ns0
257,0,ns0
258,1,ns0
259,0,ns0
260,0,ns0
261,0,ns0
262,0,ns0
263,0,ns0
264,0,ns0
265,1,ns0
266,1,ns0
267,0,ns0
268,0,ns0
269,0,ns0
270,0,ns0
271,1,ns0
272,0,ns0
273,0,ns0
274,0,ns0
275,0,ns0
276,0,ns0
277,0,ns0
278,0,ns0
279,0,ns0
280,0,ns0
281,0,ns0
282,0,ns0
283,0,ns0
284,1,ns0
285,0,ns0
286,0,ns0
287,0,ns0
288,0,ns0
289,1,ns0
290,1,ns0
291,0,ns0
292,0,ns0
293,0,ns0
294,0,ns0
295,0,ns0
296,1,ns0
297,0,ns0
298,0,ns0
299,0,ns0
300,1,ns0
301,0,ns0
302,0,ns0
303,0,ns0
304,0,ns0
305,1,ns0
306,0,ns0
307,1,ns0
308,0,ns0
309,1,ns0
310,1,ns0
311,0,ns0
312,1,ns0
313,1,ns0
314,0,ns0
315,0,ns0
316,0,ns0
317,0,ns0
318,0,ns0
319,1,ns0
320,0,ns0
321,1,ns0
322,1,ns0
323,0,ns0
324,0,ns0
325,0,ns0
326,0,ns0
327,1,ns0
328,1,ns0
329,0,ns0
330,1,ns0
331,0,ns0
332,1,ns0
333,0,ns0
334,1,ns0
335,0,ns0
336,1,ns0
337,0,ns0
338,0,ns0
339,0,ns0
340,0,ns0
341,0,ns0
342,1,ns0
343,0,ns0
344,0,ns0
345,0,ns0
346,0,ns0
347,0,ns0
348,0,ns0
349,0,ns0
350,0,ns0
351,0,ns0
352,0,ns0
353,0,ns0
354,0,ns0
355,0,ns0
356,0,ns0
357,0,ns0
358,1,ns0
359,0,ns0
360,1,ns0
361,0,ns0
362,0,ns0
363,0,ns0
364,1,ns0
365,0,ns0
366,0,ns0
367,0,ns0
368,0,ns0
369,0,ns0
370,1,ns0
371,0,ns0
372,0,ns0
373,0,ns0
374,0,ns0
375,0,ns0
376,1,ns0
377,0,ns0
378,0,ns0
379,0,ns0
380,0,ns0
381,0,ns0
382,0,ns0
383,0,ns0
384,1,ns0
385,0,ns0
386,1,ns0
387,0,ns0
388,1,ns0
389,0,ns0
390,0,ns0
391,1,ns0
392,0,ns0
393,0,ns0
394,0,ns0
395,0,ns0
396,1,ns0
397,0,ns0
398,0,ns0
399,0,ns0
400,0,ns0
401,0,ns0
402,0,ns0
403,1,ns0
404,0,ns0
405,1,ns0
406,1,ns0
407,0,ns0
408,1,ns0
409,0,ns0
410,1,ns0
411,1,ns0
412,0,ns0
413,0,ns0
414,1,ns0
415,1,ns0
416,0,ns0
417,0,ns0
418,0,ns0
419,0,ns0
420,0,ns0
421,0,ns0
422,0,ns0
423,0,ns0
424,0,ns0
425,0,ns0
426,1,ns0
427,0,ns0
428,0,ns0
429,1,ns0
430,1,ns0
431,1,ns0
432,1,ns0
433,0,ns0
434,1,ns0
435,0,ns0
436,0,ns0
437,1,ns0
438,0,ns0
439,1,ns0
440,0,ns0
441,0,ns0
442,0,ns0
443,0,ns0
444,1,ns0
445,0,ns0
446,0,ns0
447,1,ns0
448,1,ns0
449,0,ns0
450,0,ns0
451,0,ns0
452,0,ns0
453,0,ns0
454,0,ns0
455,1,ns0
456,1,ns0
457,0,ns0
458,0,ns0
459,0,ns0
460,0,ns0
461,1,ns0
462,0,ns0
463,0,ns0
464,1,ns0
465,1,ns0
466,0,ns0
467,0,ns0
468,0,ns0
469,0,ns0
470,0,ns0
471,0,ns0
472,1,ns0
473,0,ns0
474,0,ns0
475,1,ns0
476,0,ns0
477,0,ns0
478,0,ns0
479,0,ns0
480,0,ns0
481,0,ns0
482,0,ns0
483,1,ns0
484,0,ns0
485,0,ns0
486,1,ns0
487,0,ns0
488,1,ns0
489,0,ns0
490,0,ns0
491,1,ns0
492,1,ns0
493,0,ns0
494,1,ns0
495,0,ns0
496,1,ns0
497,1,ns0
498,1,ns0
499,1,ns0
500,1,ns0
501,0,ns0
502,1,ns0
503,0,ns0
504,1,ns0
505,1,ns0
506,1,ns0
507,1,ns0
508,0,ns0
509,0,ns0
510,0,ns0
511,0,ns0
512,0,ns0
513,0,ns0
514,0,ns0
515,1,ns0
516,0,ns0
