passenger_id,survived,member
0,1,sj0
1,0,sj0
2,0,sj0
3,1,sj0
4,0,sj0
5,1,sj0
6,1,sj0
7,0,sj0
8,0,sj0
9,0,sj0
10,1,sj0
11,0,sj0
12,0,sj0
13,0,sj0
14,0,sj0
15,0,sj0
16,1,sj0
17,1,sj0
18,0,sj0
19,0,sj0
20,1,sj0
21,0,sj0
22,0,sj0
23,1,sj0
24,0,sj0
25,0,sj0
26,0,sj0
27,0,sj0
28,0,sj0
29,0,sj0
30,1,sj0
31,1,sj0
32,0,sj0
33,0,sj0
34,0,sj0
35,0,sj0
36,1,sj0
37,0,sj0
38,0,sj0
39,0,sj0
40,1,sj0
41,0,sj0
42,0,sj0
43,0,sj0
44,0,sj0
45,0,sj0
46,0,sj0
47,0,sj0
48,0,sj0
49,1,sj0
50,0,sj0
51,0,sj0
52,0,sj0
53,0,sj0
54,0,sj0
55,1,sj0
56,0,sj0
57,0,sj0
58,0,sj0
59,0,sj0
60,0,sj0
61,1,sj0
62,0,sj0
63,0,sj0
64,1,sj0
65,1,sj0
66,0,sj0
67,0,sj0
68,0,sj0
69,0,sj0
70,1,sj0
71,0,sj0
72,1,sj0
73,1,sj0
74,1,sj0
75,1,sj0
76,1,sj0
77,1,sj0
78,1,sj0
79,0,sj0
80,1,sj0
81,0,sj0
82,0,sj0
83,0,sj0
84,1,sj0
85,1,sj0
86,1,sj0
87,0,sj0
88,0,sj0
89,0,sj0
90,0,sj0
91,0,sj0
92,1,sj0
93,0,sj0
94,0,sj0
95,1,sj0
96,0,sj0
97,1,sj0
98,0,sj0
99,0,sj0
100,0,sj0
101,1,sj0
102,0,sj0
103,0,sj0
104,0,sj0
105,0,sj0
106,0,sj0
107,1,sj0
108,0,sj0
109,0,sj0
110,0,sj0
111,0,sj0
112,0,sj0
113,0,sj0
114,0,sj0
115,0,sj0
116,0,sj0
117,0,sj0
118,0,sj0
119,0,sj0
120,0,sj0
121,0,sj0
122,0,sj0
123,1,sj0
124,0,sj0
125,1,sj0
126,1,sj0
127,0,sj0
128,0,sj0
129,1,sj0
130,0,sj0
131,0,sj0
132,0,sj0
133,0,sj0
134,0,sj0
135,1,sj0
136,0,sj0
137,0,sj0
138,0,sj0
139,0,sj0
140,0,sj0
141,1,sj0
142,0,sj0
143,0,sj0
144,0,sj0
145,0,sj0
146,0,sj0
147,0,sj0
148,1,sj0
149,1,sj0
150,0,sj0
151,1,sj0
152,0,sj0
153,1,sj0
154,0,sj0
155,0,sj0
156,0,sj0
157,0,sj0
158,0,sj0
159,0,sj0
160,0,sj0
161,1,sj0
162,0,sj0
163,0,sj0
164,0,sj0
165,0,sj0
166,0,sj0
167,0,sj0
168,1,sj0
169,0,sj0
170,1,sj0
171,1,sj0
172,0,sj0
173,1,sj0
174,0,sj0
175,1,sj0
176,1,sj0
177,0,sj0
178,0,sj0
179,1,sj0
180,1,sj0
181,1,sj0
182,0,sj0
183,0,sj0
184,0,sj0
185,0,sj0
186,0,sj0
187,0,sj0
188,0,sj0
189,0,sj0
190,0,sj0
191,1,sj0
192,0,sj0
193,0,sj0
194,1,sj0
195,1,sj0
196,1,sj0
197,1,sj0
198,0,sj0
199,1,sj0
200,0,sj0
201,0,sj0
202,1,sj0
203,0,sj0
204,1,sj0
205,0,sj0
206,0,sj0
207,0,sj0
208,0,sj0
209,1,sj0
210,0,sj0
211,0,sj0
212,1,sj0
213,1,sj0
214,0,sj0
215,0,sj0
216,0,sj0
217,0,sj0
218,0,sj0
219,0,sj0
220,1,sj0
221,1,sj0
222,0,sj0
223,0,sj0
224,0,sj0
225,0,sj0
226,1,sj0
227,0,sj0
228,0,sj0
229,1,sj0
230,1,sj0
231,0,sj0
232,0,sj0
233,0,sj0
234,0,sj0
235,0,sj0
236,0,sj0
237,1,sj0
238,1,sj0
239,0,sj0
240,1,sj0
241,0,sj0
242,0,sj0
243,0,sj0
244,0,sj0
245,0,sj0
246,0,sj0
247,0,sj0
248,1,sj0
249,0,sj0
250,0,sj0
251,1,sj0
252,0,sj0
253,1,sj0
254,0,sj0
255,0,sj0
256,0,sj0
257,1,sj0
258,0,sj0
259,1,sj0
260,1,sj0
261,1,sj0
262,1,sj0
263,1,sj0
264,0,sj0
265,1,sj0
266,0,sj0
267,1,sj0
268,0,sj0
269,1,sj0
270,0,sj0
271,1,sj0
272,1,sj0
273,0,sj0
274,0,sj0
275,0,sj0
276,0,sj0
277,0,sj0
278,0,sj0
279,0,sj0
280,0,sj0
281,1,sj0
282,1,sj0
283,0,sj0
284,0,sj0
285,1,sj0
286,1,sj0
287,1,sj0
288,0,sj0
289,1,sj0
290,0,sj0
291,1,sj0
292,0,sj0
293,0,sj0
294,0,sj0
