"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2009-07-20T00:16:41"	"1248049001"	"Service Bell"	"40d63516-2034-41bc-802b-cafd7cc452c1"	"Grizzly Bear"	"59a7fbcb-ff74-494d-abd0-9c82359040c9"	"Service Bell"	"40d63516-2034-41bc-802b-cafd7cc452c1"	"Grizzly Bear"	"59a7fbcb-ff74-494d-abd0-9c82359040c9"
"2009-07-20T00:17:09"	"1248049029"	"Imitosis"	"7790e395-daf9-4520-8a34-654f3d46df38"	"Andrew Bird"	"081b133e-ce74-42ba-92c1-c18234acb532"	"Imitosis"	"7790e395-daf9-4520-8a34-654f3d46df38"	"Andrew Bird"	"081b133e-ce74-42ba-92c1-c18234acb532"
"2009-07-20T00:30:25"	"1248049825"	"Leftovers"	"31b8d1b6-c51c-463b-930c-fbaed21735f2"	"Johnny Flynn"	"ce19a7e1-8c47-4dc6-9492-ef907ddc6514"	"Leftovers"	"31b8d1b6-c51c-463b-930c-fbaed21735f2"	"Johnny Flynn"	"ce19a7e1-8c47-4dc6-9492-ef907ddc6514"
"2009-07-20T00:33:15"	"1248049995"	"The Concubine"	"a10ca359-3098-425b-8b1d-889cd0b166b7"	"Beirut"	"0af78501-5647-4c18-9a0d-66ac8789e13b"	"The Concubine"	"a10ca359-3098-425b-8b1d-889cd0b166b7"	"Beirut"	"0af78501-5647-4c18-9a0d-66ac8789e13b"
"2009-07-26T06:43:05"	"1248590585"	"Amon Hen"	"1e9bbd4f-84ff-41a6-bbe9-5d386cc85954"	"Howard Shore"	"9b58672a-e68e-4972-956e-a8985a165a1f"	"Amon Hen"	"1e9bbd4f-84ff-41a6-bbe9-5d386cc85954"	"Howard Shore"	"9b58672a-e68e-4972-956e-a8985a165a1f"
"2009-07-26T06:43:32"	"1248590612"	"Looks Just Like the Sun"	"38eaba30-e116-4178-b645-871a7434fd66"	"Broken Social Scene"	"2eada8f8-056a-4093-bbc2-004909ce743b"	"Looks Just Like the Sun"	"38eaba30-e116-4178-b645-871a7434fd66"	"Broken Social Scene"	"2eada8f8-056a-4093-bbc2-004909ce743b"
"2009-07-26T07:15:48"	"1248592548"	"Parlez-moi d'amour"	"2fdd3589-ce18-42f2-966e-6fca40999f05"	"Lucienne Boyer"	"794f27ad-ad32-4a88-b390-79d0141773ca"	"Parlez-moi d'amour"	"2fdd3589-ce18-42f2-966e-6fca40999f05"	"Lucienne Boyer"	"794f27ad-ad32-4a88-b390-79d0141773ca"
"2009-07-26T07:18:32"	"1248592712"	"Pigalle"	"41d29856-05b0-46dc-9ee5-90b0a83931cf"	"Georges Ulmer"	"836ad164-ec00-4652-89d3-e34353627f63"	"Pigalle"	"41d29856-05b0-46dc-9ee5-90b0a83931cf"	"Georges Ulmer"	"836ad164-ec00-4652-89d3-e34353627f63"
"2009-07-27T02:51:13"	"1248663073"	"A paris"	""	"Yves Montand"	"c5e59ab1-caa7-4044-b671-9e493a85e8e0"	"A paris"	""	"Yves Montand"	"c5e59ab1-caa7-4044-b671-9e493a85e8e0"
"2009-07-28T01:52:32"	"1248745952"	"Laughter In The Dark"	"d5b07b88-882b-4192-9407-0cb7d1dd453a"	"A Hawk and a Hacksaw"	"b7cef615-5d43-463f-9032-5d3bc0d96b7f"	"Laughter In The Dark"	"d5b07b88-882b-4192-9407-0cb7d1dd453a"	"A Hawk and a Hacksaw"	"b7cef615-5d43-463f-9032-5d3bc0d96b7f"
