Mon,Department,Information Technology,Executive,Facilities,Finance,Human Resources,Marketing,Sales,Technical Support
Jan,Budget,450,250,190,100,50,100,510,35
Jan,Actual,463,246,193,96,51,99,524,29
Feb,Budget,450,255,190,100,50,100,475,35
Feb,Actual,472,253,195,95,64,97,458,28
Mar,Budget,470,260,180,100,50,100,475,35
Mar,Actual,483,375,186,95,58,95,467,28
Apr,Budget,475,265,170,110,51,100,505,36
Apr,Actual,488,376,174,98,53,97,503,27
May,Budget,475,270,170,110,51,100,480,36
May,Actual,490,384,166,101,50,104,489,26
Jun,Budget,500,275,180,110,51,100,480,36
Jun,Actual,534,388,168,109,50,152,480,26
Jul,Budget,500,280,190,120,52,100,510,37
Jul,Actual,557,394,200,110,48,89,512,25
Aug,Budget,500,290,200,120,52,100,485,37
Aug,Actual,563,394,210,112,47,90,479,25
Sep,Budget,500,300,200,120,52,100,485,37
Sep,Actual,552,394,208,112,49,86,484,26
Oct,Budget,500,305,190,120,53,100,515,38
Oct,Actual,542,396,183,113,50,93,514,25
Nov,Budget,500,310,190,120,53,150,490,38
Nov,Actual,263,201,87,66,25,73,247,13
Dec,Budget,500,400,200,120,53,150,490,38
Dec,Actual,,,,,,,,
